Judge ID,Race or Ethnicity,Gender,Court Type
2977,White,Male,U.S. District Court
3388,African American,Male,U.S. District Court
7395471,Hispanic,Female,U.S. Court of Appeals
2911,White,Male,U.S. District Court
3222,White,Male,U.S. District Court
5197986,White,Male,U.S. District Court
3167,White,Male,U.S. District Court
3984221,White,Female,U.S. Court of Appeals
3105,White,Male,U.S. District Court
2797,White,Male,U.S. District Court
3544,White,Female,U.S. District Court
1353,White,Male,U.S. District Court
2865,White,Male,U.S. District Court
2809,African American,Male,U.S. District Court
3428,Asian American,Male,U.S. District Court
6453086,Asian American,Male,U.S. Court of Appeals
3574,White,Male,U.S. District Court
6731091,White,Male,U.S. District Court
2965,White,Male,U.S. District Court
3512,White,Male,U.S. District Court
2763,African American,Male,U.S. District Court
1379,White,Female,U.S. District Court
1387,White,Male,U.S. District Court
3526,White,Male,U.S. District Court
3513,White,Female,U.S. District Court
3435,White,Female,U.S. District Court
1394,African American,Male,U.S. District Court
6830641,White,Male,U.S. District Court
7545471,White,Male,U.S. District Court
3177,White,Male,U.S. District Court
2978,Hispanic,Male,U.S. District Court
2756,African American,Male,U.S. District Court
3140,White,Female,U.S. District Court
3523,White,Female,U.S. District Court
1404,White,Female,U.S. District Court
3147,White,Female,U.S. Court of Appeals
3534,African American,Male,U.S. District Court
3345,African American,Male,U.S. Court of Appeals
7390466,White,Male,U.S. Court of Appeals
3119,White,Male,U.S. District Court
1443,White,Male,U.S. Court of Appeals
7470671,White,Female,U.S. District Court
2866,White,Male,U.S. District Court
2849,White,Female,U.S. District Court
3278,White,Female,U.S. District Court
2798,White,Female,U.S. District Court
3456,White,Male,U.S. District Court
2739,African American,Male,U.S. District Court
3397,White,Male,U.S. District Court
5018796,White,Female,U.S. District Court
3537,Hispanic,Female,U.S. District Court
2955,White,Male,U.S. District Court
3256,White,Male,U.S. District Court
7543931,White,Female,U.S. District Court
1490,White,Male,U.S. District Court
2876,White,Female,U.S. District Court
2917,Hispanic,Male,U.S. District Court
3060,Hispanic,Male,U.S. District Court
3348,Hispanic,Male,U.S. District Court
3608,White,Male,U.S. District Court
3541,White,Male,U.S. District Court
6130381,White,Male,U.S. Court of Appeals
3351,White,Male,U.S. Court of Appeals
3184,Asian American,Female,U.S. District Court
3092,White,Male,U.S. District Court
3162,White,Female,U.S. District Court
3562,White,Female,U.S. District Court
6594536,White,Male,U.S. District Court
3584,White,Male,U.S. District Court
3499,White,Female,U.S. District Court
3371,White,Male,U.S. District Court
2980,White,Male,U.S. Court of Appeals
3598,White,Male,U.S. District Court
7049776,White,Female,U.S. District Court
3975196,White,Male,U.S. District Court
7539421,White,Male,U.S. District Court
3511,White,Female,U.S. Court of Appeals
3518,White,Male,U.S. District Court
2761,White,Female,U.S. Court of Appeals
1571,White,Male,U.S. District Court
3022,White,Male,U.S. District Court
1579,White,Male,U.S. District Court
2799,White,Female,U.S. District Court
3439,White,Male,U.S. District Court
3476,White,Male,U.S. District Court
3585,Asian American,Male,U.S. District Court
3195,White,Male,U.S. District Court
7365461,White,Male,U.S. Court of Appeals
3172,Hispanic,Male,U.S. District Court
3551,Hispanic,Male,U.S. District Court
3547,Hispanic,Male,U.S. District Court
1627,White,Male,U.S. District Court
3503,White,Male,U.S. District Court
3514,White,Female,U.S. District Court
3392,White,Female,U.S. District Court
1641,African American,Female,U.S. District Court
3170,African American,Male,U.S. District Court
6063776,White,Male,U.S. Court of Appeals
1649,White,Male,U.S. District Court
3496,White,Female,U.S. Court of Appeals
2902,White,Male,U.S. District Court
3000,White,Female,U.S. District Court
2784,Asian American,Female,U.S. District Court
3021,Hispanic,Male,U.S. District Court
3504,White,Male,U.S. District Court
1678,White,Male,U.S. District Court
3129,White,Female,U.S. Court of Appeals
3465,African American,Male,U.S. District Court
5152931,African American,Male,U.S. District Court
6278461,Hispanic,Male,U.S. District Court
1684,Hispanic,Male,U.S. District Court
3422,White,Female,U.S. District Court
3530,White,Female,U.S. Court of Appeals
3500,White,Male,U.S. District Court
6589526,White,Female,U.S. District Court
2753,White,Female,U.S. District Court
2969,Hispanic,Female,U.S. District Court
1703,White,Male,U.S. District Court
3034,White,Male,U.S. District Court
3561,White,Male,U.S. District Court
3337,White,Female,U.S. District Court
2832,Hispanic,Male,U.S. District Court
2885,Hispanic,Female,U.S. District Court
6105366,White,Male,U.S. Court of Appeals
3180,White,Male,U.S. District Court
7470666,African American/White,Male,U.S. District Court
3361,White,Female,U.S. District Court
4625006,Asian American,Male,U.S. Court of Appeals
7330456,White,Male,U.S. Court of Appeals
3393,White,Female,U.S. District Court
3255,Hispanic,Female,U.S. District Court
3094,White,Female,U.S. Court of Appeals
5373051,White,Male,U.S. Court of Appeals
3339,White,Female,U.S. District Court
3267886,White,Male,U.S. Court of Appeals
3227,Asian American,Female,U.S. District Court
6489111,White,Male,U.S. District Court
6489101,White,Male,U.S. District Court
5019301,White,Female,U.S. District Court
5374071,White,Male,U.S. District Court
7224376,White,Male,U.S. District Court
3418,White,Male,U.S. District Court
3466,African American,Male,U.S. District Court
3015971,White,Male,U.S. District Court
3468,White,Female,U.S. District Court
3165,White,Male,U.S. District Court
