Court Type,Gender,Race or Ethnicity,Name
U.S. District Court,Male,White,William Becker 
U.S. District Court,Female,White,Sandra Beckwith 
U.S. District Court,Male,White,Gunning BedfordJr.
U.S. District Court,Male,White,Thomas Bee 
U.S. District Court,Male,White,William Beeks 
U.S. District Court,Male,White,Peter Beer 
U.S. District Court,Female,African American/White,Wendy Beetlestone 
U.S. Court of Appeals,Male,White,Robert Beezer 
U.S. District Court,Male,White,Ralph Beistline 
U.S. District Court,Male,White,David BelewJr.
U.S. Court of Appeals,Male,White,Griffin Bell 
U.S. Court of Appeals,Male,White,J. Bell 
U.S. District Court,Male,White,Kenneth BellSr.
U.S. District Court,Male,White,Robert Bell 
U.S. District Court,Male,White,Robert Bell 
U.S. District Court,Male,White,Samuel Bell 
U.S. District Court,Male,White,Charles Bellinger 
U.S. District Court,Male,White,Robert Belloni 
U.S. District Court,Male,White,Monti Belot 
U.S. Court of Appeals,Male,Hispanic,Fortunato Benavides 
U.S. District Court,Female,White,Cathy Bencivengo 
U.S. District Court,Male,White,Charles Benedict 
U.S. District Court,Male,Hispanic,Roger Benitez 
U.S. District Court,Male,African American,Alfred Bennett 
U.S. Court of Appeals,Male,White,Mark Bennett
U.S. District Court,Male,White,Mark Bennett 
U.S. District Court,Male,White,Richard Bennett 
U.S. District Court,Male,White,Dee Benson 
U.S. District Court,Male,White,Paul Benson 
U.S. Court of Appeals,Male,White,William Benton 
U.S. District Court,Male,White,Terrence Berg 
U.S. District Court,Female,African American,Irene Berger 
U.S. District Court,Female,White,Wendy Berger
U.S. District Court,Male,White,Richard Berman 
U.S. District Court,Male,Hispanic,Jesus Bernal 
U.S. District Court,Female,White,Helen Berrigan 
U.S. District Court,Male,White,William Bertelsman 
U.S. Court of Appeals,Female,White,Marsha Berzon 
U.S. District Court,Male,Hispanic,Francisco Besosa 
U.S. District Court,Male,White,Solomon Bethea 
U.S. District Court,Male,White,Samuel Betts 
U.S. District Court,Male,White,Joseph Bianco 
U.S. Court of Appeals,Male,White,Stephanos Bibas
U.S. District Court,Male,White,Alexander Bicks 
U.S. Court of Appeals,Male,White,Francis Biddle 
U.S. District Court,Male,White,Samuel BieryJr.
U.S. District Court,Male,White,Neal BiggersJr.
U.S. District Court,Male,White,Asa Biggs 
U.S. Court of Appeals,Male,White,John BiggsJr.
U.S. District Court,Female,African American,Loretta Biggs 
U.S. District Court,Male,White,Richard Bilby 
U.S. District Court,Male,White,Edward Billings 
U.S. District Court,Male,White,Franklin BillingsJr.
U.S. District Court,Male,White,Edward Bingham 
U.S. Court of Appeals,Male,White,George Bingham 
U.S. Court of Appeals,Male,White,Stanley BirchJr.
U.S. District Court,Male,African American,Andre BirotteJr.
U.S. Court of Appeals,Female,White,Jean Bissell 
U.S. District Court,Male,White,John Bissell 
U.S. District Court,Female,Asian American/Hispanic,Cathy Bissoon 
U.S. District Court,Male,White,Vincent Biunno 
U.S. District Court,Male,White,Bruce Black 
Supreme Court,Male,White,Hugo Black 
U.S. District Court,Male,White,Lloyd Black 
U.S. District Court,Male,White,Norman Black 
U.S. District Court,Female,White,Susan Black 
U.S. District Court,Male,White,Timothy Black 
U.S. District Court,Male,White,Walter BlackJr.
U.S. District Court,Male,White,Robert Blackburn 
U.S. District Court,Female,White,Sharon Blackburn 
U.S. Court of Appeals,Male,White,Harry Blackmun 
U.S. District Court,Male,White,Charles Blair 
Supreme Court,Male,White,John BlairJr.
U.S. District Court,Female,White,Catherine Blake 
U.S. District Court,Male,White,John Blakey 
U.S. District Court,Male,White,Theodorick Bland 
U.S. District Court,Male,White,Samuel Blatchford 
U.S. District Court,Male,White,Solomon BlattJr.
U.S. District Court,Male,White,Benjamin Bledsoe 
U.S. District Court,Male,White,Alan Bloch 
U.S. District Court,Male,White,Frederic Block 
U.S. District Court,Male,White,Henry Blodgett 
U.S. District Court,Female,White,Beth Bloom 
U.S. District Court,Male,White,Mosher Blumenfeld 
U.S. District Court,Male,White,Alexander Boarman 
U.S. District Court,Male,White,James Boasberg 
U.S. District Court,Male,White,Joseph Bodine 
U.S. District Court,Male,White,Ralph Body 
U.S. Court of Appeals,Male,White,Danny Boggs 
U.S. District Court,Male,White,Andrew Bogue 
U.S. District Court,Male,White,Luther Bohanon 
U.S. District Court,Male,African American,Victor Bolden 
U.S. District Court,Male,White,George Boldt 
U.S. District Court,Female,White,Susan Bolton 
U.S. District Court,Male,White,William Bondy 
U.S. Court of Appeals,Male,White,Homer Bone 
U.S. District Court,Male,White,Robert Bonner 
U.S. District Court,Male,White,Dudley Bonsal 
U.S. Court of Appeals,Male,White,Robert Boochever 
U.S. District Court,Female,White,Claria Boom
U.S. District Court,Male,White,Wilbur Booth 
U.S. District Court,Male,White,William Bootle 
U.S. District Court,Male,White,Wayne Borah 
U.S. District Court,Male,White,Herbert Boreman 
U.S. Court of Appeals,Male,White,Robert Bork 
U.S. District Court,Male,White,Paul Borman 
U.S. District Court,Male,White,Michael Boudin 
U.S. District Court,Male,White,Stephen Bough 
U.S. District Court,Male,White,Jean-Paul Boulee
U.S. District Court,Male,African American,Richard BoulwareII
U.S. District Court,Male,White,Benjamin Bourne 
U.S. District Court,Male,White,George Bourquin 
U.S. District Court,Female,White,Karon Bowdre 
U.S. District Court,Male,White,Dudley BowenJr.
U.S. District Court,Male,White,John Bowen 
U.S. Court of Appeals,Male,White,Pasco BowmanII
U.S. District Court,Male,White,Hugh Bownes 
U.S. District Court,Male,White,Henry Boyce 
U.S. District Court,Male,White,James Boyd 
