Court Type,Gender,Race or Ethnicity,Name
U.S. District Court,Male,White,James Gordon 
U.S. District Court,Male,White,Myron Gordon 
U.S. District Court,Male,White,Peyton Gordon 
U.S. District Court,Male,White,John Gore 
U.S. Court of Appeals,Male,White,Neil Gorsuch 
U.S. District Court,Male,White,Nathaniel Gorton 
U.S. District Court,Female,White,Joan Gottschall 
U.S. District Court,Male,White,Ashley Gould 
U.S. Court of Appeals,Male,White,Ronald Gould 
U.S. District Court,Male,White,Wallace Gourley 
U.S. Court of Appeals,Female,White,Susan Graber 
U.S. District Court,Male,White,John Grady 
U.S. District Court,Male,African American,Donald Graham 
U.S. District Court,Male,White,James Graham 
U.S. District Court,Female,White,Callie Granade 
U.S. Court of Appeals,Female,White,Britt Grant
U.S. District Court,Male,White,Robert Grant 
U.S. Court of Appeals,Male,White,Leonard Grasz
U.S. District Court,Male,White,Henry Graven 
U.S. Court of Appeals,Male,African American,James GravesJr.
U.S. District Court,Male,White,Frank GrayJr.
Supreme Court,Male,White,Horace Gray 
U.S. District Court,Male,White,William Gray 
U.S. District Court,Male,White,Ben Green 
U.S. District Court,Male,African American,Clifford Green 
U.S. District Court,Male,White,Edward Green 
U.S. District Court,Female,White,Joyce Green 
U.S. District Court,Female,White,June Green 
U.S. District Court,Male,African American,Joseph GreenawayJr.
U.S. Court of Appeals,Male,White,Morton Greenberg 
U.S. District Court,Male,White,Harold Greene 
U.S. District Court,Male,White,John GreeneJr.
U.S. District Court,Male,White,J. Greer 
U.S. Court of Appeals,Male,African American,Roger Gregory 
U.S. District Court,Male,White,Walter Gresham 
Supreme Court,Male,White,Robert Grier 
U.S. District Court,Male,White,Thomas Griesa 
U.S. District Court,Male,White,William Griesbach 
U.S. District Court,Male,White,Cyrus Griffin 
U.S. Court of Appeals,Male,White,Richard Griffin 
U.S. Court of Appeals,Male,White,Thomas Griffith 
U.S. District Court,Male,White,Allan Grim 
U.S. District Court,Male,Hispanic,Steven Grimberg
U.S. District Court,Male,White,Paul Grimm 
U.S. District Court,Male,White,James Gritzner 
U.S. District Court,Female,White,Gina Groh 
U.S. District Court,Male,White,Duncan Groner 
U.S. District Court,Male,White,Harlan Grooms 
U.S. District Court,Male,White,Peter Grosscup 
U.S. District Court,Male,White,Kenneth Grubb 
U.S. District Court,Male,White,William Grubb 
U.S. Court of Appeals,Male,White,Raymond Gruender 
U.S. District Court,Male,Hispanic,David Guaderrama 
U.S. District Court,Male,White,Lawrence Gubow 
U.S. District Court,Male,White,Greg Guidry
U.S. District Court,Male,White,Andrew Guilford 
U.S. District Court,Male,White,Junius GuinJr.
U.S. District Court,Male,White,Ernest Guinn 
U.S. District Court,Male,Hispanic,Louis GuirolaJr.
U.S. District Court,Male,White,George GunnJr.
U.S. District Court,Male,White,Murray Gurfein 
U.S. District Court,Male,Hispanic,Philip Gutierrez 
U.S. District Court,Male,White,Ralph GuyJr.
U.S. District Court,Male,Hispanic,Ronald Guzman 
U.S. District Court,Male,White,James Gwin 
U.S. District Court,Female,White,Barbara Hackett 
U.S. District Court,Male,White,Sam Haddon 
U.S. District Court,Male,White,Charles HadenII
U.S. District Court,Male,White,David Hagen 
U.S. District Court,Male,African American,Ancer Haggerty 
U.S. District Court,Male,White,Alexander Hagner 
U.S. District Court,Male,White,George Hahn 
U.S. District Court,Male,White,Charles HaightJr.
U.S. District Court,Male,White,Fletcher Haight 
U.S. District Court,Male,White,Thomas Haight 
U.S. District Court,Male,White,Richard Haik 
U.S. District Court,Female,White,Madeline Haikala 
U.S. District Court,Female,White,Stephanie Haines
U.S. District Court,Male,White,Sherrill Halbert 
U.S. District Court,Male,White,Clarence Hale 
U.S. District Court,Male,White,David Hale 
U.S. District Court,Female,White,Cynthia Hall 
U.S. District Court,Male,White,James Hall 
U.S. District Court,Female,White,Janet Hall 
U.S. District Court,Male,White,Kenneth Hall 
U.S. District Court,Female,African American,LaShann Hall 
U.S. District Court,Male,White,Nathan Hall 
U.S. District Court,Male,White,Peirson Hall 
U.S. Court of Appeals,Male,White,Peter Hall 
U.S. District Court,Male,White,Robert Hall 
U.S. District Court,Male,White,Sam HallJr.
U.S. District Court,Male,White,Willard Hall 
U.S. District Court,Female,White,Elizabeth Hallanan 
U.S. District Court,Male,White,Moses Hallett 
U.S. District Court,Male,White,Elbert HaltomJr.
U.S. District Court,Male,White,James Halyburton 
U.S. District Court,Male,White,Clyde Hamilton 
U.S. District Court,Male,White,David Hamilton 
U.S. District Court,Male,White,Elwood Hamilton 
U.S. District Court,Female,White,Jean Hamilton 
U.S. District Court,Female,African American,Phyllis Hamilton 
U.S. Court of Appeals,Male,White,Frederick Hamley 
U.S. District Court,Male,White,Oliver HamlinJr.
U.S. District Court,Male,White,Eli Hammond 
U.S. District Court,Male,White,James Hancock 
U.S. District Court,Male,White,Augustus Hand 
U.S. District Court,Male,White,Learned Hand 
U.S. District Court,Male,White,William Hand 
U.S. District Court,Male,White,Andrew Hanen 
U.S. Court of Appeals,Male,White,Bert Haney 
U.S. District Court,Male,White,Cornelius Hanford 
U.S. District Court,Male,African American,George HanksJr.
U.S. District Court,Male,White,James Hanlon
U.S. District Court,Male,White,John HannahJr.
U.S. District Court,Male,White,Allen Hannay 
U.S. District Court,Male,White,John Hannum 
U.S. District Court,Male,White,Curtis Hansen 
U.S. District Court,Male,White,David Hansen 
U.S. District Court,Male,White,William Hanson 
U.S. District Court,Male,White,Thomas Hardiman 
U.S. District Court,Male,White,Charles Hardy 
U.S. District Court,Male,African American,John HargroveSr.
Supreme Court,Male,White,John Harlan 
U.S. Court of Appeals,Male,White,John Harlan 
U.S. District Court,Female,White,Melinda Harmon 
U.S. District Court,Male,White,Roy Harper 
U.S. District Court,Male,White,Samuel Harper 
U.S. District Court,Male,White,M. Harpool 
U.S. District Court,Male,White,Edward Harrington 
U.S. District Court,Male,White,George Harris 
U.S. District Court,Male,White,Oren Harris 
U.S. Court of Appeals,Female,White,Pamela Harris 
U.S. District Court,Male,White,Stanley Harris 
U.S. District Court,Male,White,Benjamin Harrison 
U.S. District Court,Male,White,George HartJr.
U.S. District Court,Male,White,William Hart 
U.S. District Court,Male,White,John Hartigan 
U.S. District Court,Male,White,Richard Hartshorne 
U.S. Court of Appeals,Male,White,Harris Hartz 
U.S. District Court,Male,White,Alexander HarveyII
U.S. District Court,Male,White,James Harvey 
U.S. District Court,Male,White,Matthew Harvey 
U.S. District Court,Male,White,Robert Harwell 
U.S. Court of Appeals,Male,African American,William Hastie 
U.S. District Court,Male,African American,Alcee Hastings 
U.S. Court of Appeals,Male,White,John Hastings 
U.S. District Court,Male,White,Carl Hatch 
U.S. Court of Appeals,Male,African American,Joseph Hatchett 
U.S. District Court,Male,White,Paul Hatfield 
U.S. District Court,Male,African American,Terry HatterJr.
U.S. District Court,Male,White,A. Hauk 
U.S. District Court,Male,White,Falcon HawkinsJr.
U.S. Court of Appeals,Male,White,Michael Hawkins 
U.S. District Court,Male,White,Thomas Hawley 
U.S. District Court,Male,White,George Hay 
U.S. District Court,Female,White,Katharine Hayden 
U.S. District Court,Male,White,Johnson Hayes 
U.S. District Court,Male,White,William Hayes 
U.S. Court of Appeals,Female,White,Catharina Haynes 
U.S. District Court,Male,African American,William HaynesJr.
U.S. Court of Appeals,Male,White,Clement HaynsworthJr.
U.S. Court of Appeals,Male,White,Paul Hays 
U.S. District Court,Male,White,William Hays 
U.S. District Court,Male,African American,George Hazel 
U.S. District Court,Male,White,John Hazel 
U.S. District Court,Male,White,Hayden HeadJr.
U.S. District Court,Male,White,Arthur Healey 
U.S. Court of Appeals,Male,White,William Healy 
U.S. Court of Appeals,Male,White,Gerald Heaney 
U.S. District Court,Male,White,Thad Heartfield 
U.S. District Court,Male,White,Upton Heath 
U.S. District Court,Male,White,Joe Heaton 
U.S. District Court,Male,White,Frederick Heebe 
U.S. District Court,Male,Asian American/Pacific Islander,Walter Heen 
U.S. District Court,Male,White,Alvin Hellerstein 
U.S. District Court,Male,White,Jeffrey Helmick 
U.S. District Court,Male,White,Guy Helvering 
U.S. District Court,Male,White,Robert Hemphill 
U.S. District Court,Male,White,Albert Henderson 
U.S. District Court,Male,White,David Henderson 
U.S. District Court,Male,White,John Henderson 
U.S. District Court,Female,White,Karen Henderson 
U.S. District Court,Male,African American,Thelton Henderson 
U.S. District Court,Male,White,Jimm Hendren 
U.S. District Court,Female,White,Bruce Hendricks 
U.S. District Court,Male,White,James Hendrix
U.S. District Court,Male,White,Jesse Henley 
U.S. District Court,Male,White,Edward Henning 
U.S. Court of Appeals,Male,White,Robert Henry 
U.S. District Court,Male,White,William Herlands 
U.S. District Court,Male,White,Henry HerlongJr.
U.S. District Court,Male,White,Robert Herman 
U.S. District Court,Male,White,H[oward] Hermansdorfer 
U.S. District Court,Male,Hispanic,Marco Hernandez 
U.S. District Court,Male,White,David Herndon 
U.S. District Court,Female,Hispanic,Judith Herrera 
U.S. District Court,Male,White,John HeyburnII
U.S. District Court,Male,African American,William Hibbler 
U.S. District Court,Male,White,Smith Hickenlooper 
U.S. Court of Appeals,Male,White,John Hickey 
U.S. District Court,Female,White,Susan Hickey 
U.S. District Court,Male,White,Edwin Hicklin 
U.S. District Court,Male,White,Larry Hicks 
U.S. District Court,Male,White,S. HicksJr.
U.S. District Court,Male,White,Xenophon Hicks 
U.S. District Court,Male,White,Lynn Higby 
U.S. District Court,Male,African American,Aloyisus HigginbothamJr.
U.S. District Court,Male,White,Patrick Higginbotham 
U.S. District Court,Male,White,Thomas Higgins 
U.S. Court of Appeals,Male,White,Stephen Higginson 
U.S. District Court,Male,White,Shelby Highsmith 
U.S. District Court,Male,White,Delmas Hill 
U.S. District Court,Male,White,Irving Hill 
U.S. District Court,Male,White,James Hill 
U.S. District Court,Male,White,Robert Hill 
U.S. District Court,Male,White,Robert Hill 
U.S. District Court,Male,White,Douglas Hillman 
U.S. District Court,Male,White,Noel Hillman 
U.S. District Court,Male,White,Timothy Hillman 
U.S. District Court,Male,White,Edgar Hillyer 
U.S. District Court,Male,White,Claude Hilton 
U.S. District Court,Male,White,Carroll Hincks 
U.S. District Court,Male,White,Robert Hinkle 
U.S. District Court,Male,Hispanic,Ricardo Hinojosa 
U.S. District Court,Male,White,Samuel Hitchcock 
U.S. District Court,Male,White,David Hittner 
U.S. District Court,Male,White,William Hitz 
U.S. Court of Appeals,Male,Asian American,James Ho
U.S. District Court,Male,White,John Hobart 
U.S. District Court,Male,White,Truman Hobbs 
U.S. District Court,Female,White,Faith Hochberg 
U.S. District Court,Male,White,Walter Hodge 
U.S. District Court,Male,White,William Hodges 
U.S. District Court,Male,White,Adolph HoehlingJr.
U.S. District Court,Male,White,William Hoeveler 
U.S. District Court,Male,White,Julius Hoffman 
U.S. District Court,Male,White,Ogden HoffmanJr.
U.S. District Court,Male,White,Walter Hoffman 
U.S. District Court,Male,White,Michael Hogan 
U.S. District Court,Male,White,Thomas Hogan 
U.S. District Court,Male,White,Timothy Hogan 
U.S. District Court,Male,White,James Holden 
U.S. District Court,Male,White,Cale Holder 
U.S. District Court,Male,White,James Holderman 
U.S. District Court,Male,White,H[ezekiah] Holland 
U.S. District Court,Male,White,James Holland 
U.S. District Court,Male,White,John Holland 
U.S. District Court,Female,White,Ellen Hollander 
U.S. District Court,Male,White,Howard Hollister 
U.S. Court of Appeals,Male,White,William HollowayJr.
U.S. District Court,Male,White,William Holly 
U.S. District Court,Male,White,Harry Hollzer 
U.S. District Court,Male,White,Jesse Holman 
U.S. District Court,Male,White,Edwin Holmes 
U.S. Court of Appeals,Male,African American,Jerome Holmes 
U.S. District Court,Male,White,J[ames] Holmes 
Supreme Court,Male,White,Oliver HolmesJr.
U.S. District Court,Male,White,Paul HolmesIII
U.S. District Court,Male,White,Sven Holmes 
U.S. District Court,Male,White,John Holschuh 
U.S. District Court,Male,White,George Holt 
U.S. District Court,Male,White,Alexander Holtzoff 
U.S. District Court,Male,White,Richard Holwell 
U.S. District Court,Female,African American,Charlene Honeywell 
U.S. District Court,Female,African American,Denise Hood 
U.S. District Court,Male,White,Joseph Hood 
U.S. District Court,Male,White,William Hook 
U.S. District Court,Male,White,Frank Hooper 
U.S. District Court,Male,White,James Hopkins 
U.S. District Court,Male,White,Richard Hopkins 
U.S. District Court,Female,White,Virginia Hopkins 
U.S. District Court,Male,White,Francis Hopkinson 
U.S. District Court,Male,White,Joseph Hopkinson 
U.S. District Court,Female,White,Marilyn Horan
U.S. District Court,Male,White,Mark Hornak 
U.S. District Court,Male,White,David Hornby 
U.S. District Court,Male,African American,Odell Horton 
U.S. District Court,Male,White,C[harles] Houck 
U.S. District Court,Male,White,Benson Hough 
U.S. District Court,Male,White,Charles Hough 
U.S. District Court,Male,White,James Houston 
U.S. District Court,Male,African American,John Houston 
U.S. District Court,Male,White,Daniel Hovland 
U.S. District Court,Male,White,Alex HowardJr.
U.S. District Court,Male,White,Clinton Howard 
U.S. District Court,Male,African American,George HowardJr.
U.S. Court of Appeals,Male,White,Jeffrey Howard 
U.S. District Court,Male,African American,Joseph Howard 
U.S. District Court,Male,White,Malcolm Howard 
U.S. District Court,Female,Hispanic,Marcia Howard 
U.S. District Court,Male,White,Harland Howe 
U.S. District Court,Male,White,James Howe 
U.S. District Court,Female,White,Beryl Howell 
U.S. District Court,Male,White,David Howell 
U.S. District Court,Male,African American,Kenneth Hoyt 
U.S. District Court,Male,White,Paul Huck 
U.S. District Court,Male,White,Henry Hudson 
U.S. District Court,Male,White,Harry Hudspeth 
U.S. District Court,Female,White,Marilyn Huff 
U.S. District Court,Male,White,R. HuffakerJr.
U.S. Court of Appeals,Female,White,Shirley Hufstedler 
U.S. Court of Appeals,Male,White,Procter HugJr.
Supreme Court,Male,White,Charles Hughes 
U.S. District Court,Male,White,Lynn Hughes 
U.S. District Court,Male,White,Robert Hughes 
U.S. District Court,Female,White,Sarah Hughes 
U.S. Court of Appeals,Male,White,Todd Hughes 
U.S. District Court,Male,White,George Hulbert 
U.S. District Court,Male,White,Rubey Hulen 
U.S. District Court,Female,White,Frank Hull 
U.S. District Court,Male,White,Thomas Hull 
U.S. District Court,Female,American Indian,Diane Humetewa 
U.S. District Court,Male,White,J. Humphrey 
U.S. District Court,Male,White,David Humphreys 
U.S. District Court,Male,White,West Humphreys 
U.S. District Court,Male,White,Oscar Hundley 
U.S. District Court,Male,White,William Hungate 
U.S. Court of Appeals,Female,White,Danielle Hunsaker
U.S. District Court,Male,White,Roger Hunt 
Supreme Court,Male,White,Ward Hunt 
U.S. District Court,Male,White,William Hunt 
U.S. District Court,Male,White,Willis HuntJr.
U.S. District Court,Male,White,Edwin HunterJr.
U.S. District Court,Male,White,Elmo Hunter 
U.S. Court of Appeals,Male,White,James HunterIII
U.S. District Court,Male,White,Elisha Huntington 
U.S. District Court,Male,White,Harry Hupp 
U.S. District Court,Male,White,David Hurd 
U.S. District Court,Male,White,Daniel Hurley 
U.S. District Court,Male,White,Denis Hurley 
U.S. Court of Appeals,Male,White,Andrew Hurwitz 
U.S. District Court,Male,White,Charles Hutcheson 
U.S. District Court,Male,White,Joseph HutchesonJr.
U.S. Court of Appeals,Male,White,William Hutchinson 
U.S. District Court,Male,African American,Herbert Hutton 
U.S. District Court,Female,White,Ellen Huvelle 
U.S. Court of Appeals,Male,White,Walter Huxman 
U.S. District Court,Male,White,Daniel HuyettIII
U.S. District Court,Male,White,James Ideman 
U.S. District Court,Male,White,Michael Igoe 
U.S. Court of Appeals,Female,White,Sandra Ikuta 
U.S. District Court,Female,White,Susan Illston 
U.S. District Court,Female,White,Karin Immergut
U.S. District Court,Male,White,Robert Inch 
U.S. District Court,Male,White,Charles Ingersoll 
U.S. District Court,Male,White,Joe Ingraham 
U.S. District Court,Male,White,William Ingram 
U.S. District Court,Male,White,Harry Innes 
Supreme Court,Male,White,James Iredell 
U.S. District Court,Male,White,Joseph Irenas 
U.S. District Court,Female,Hispanic,Dora Irizarry 
U.S. District Court,Male,White,J. Irving 
U.S. District Court,Male,White,Thomas Irwin 
U.S. District Court,Male,Asian American,Anthony Ishii 
U.S. District Court,Male,White,George Jack 
U.S. District Court,Female,White,Janis Jack 
U.S. District Court,Female,White,Amy Jackson 
U.S. District Court,Male,African American,Brian Jackson 
U.S. District Court,Female,African American,Carol Jackson 
U.S. District Court,Male,White,John Jackson 
U.S. District Court,Male,White,John JacksonJr.
U.S. District Court,Female,African American,Ketanji Jackson 
U.S. District Court,Male,African American,Raymond Jackson 
U.S. District Court,Male,White,Richard Jackson 
Supreme Court,Male,White,Robert Jackson 
U.S. District Court,Male,White,Thomas Jackson 
U.S. Court of Appeals,Male,White,Dennis Jacobs 
U.S. District Court,Male,White,Fred Jacobs 
U.S. District Court,Male,White,Charles James 
U.S. District Court,Male,White,Robert James 
U.S. District Court,Male,White,William James 
U.S. District Court,Male,White,William Jameson 
U.S. District Court,Male,White,John Jarvey 
U.S. District Court,Male,White,James JarvisII
Supreme Court,Male,White,John Jay 
U.S. District Court,Male,White,Bruce Jenkins 
U.S. District Court,Male,White,James Jenkins 
U.S. District Court,Male,African American,Martin Jenkins 
U.S. District Court,Male,White,Ralph Jenney 
U.S. District Court,Female,White,Rebecca Jennings
U.S. District Court,Male,White,Delwen Jensen 
U.S. District Court,Male,White,Gilbert Jertberg 
U.S. Court of Appeals,Male,White,Harvey Johnsen 
U.S. District Court,Male,White,Alan Johnson 
U.S. District Court,Male,White,Albert Johnson 
U.S. District Court,Male,White,Benjamin Johnson 
U.S. Court of Appeals,Male,White,Charles Johnson 
U.S. District Court,Male,White,Frank JohnsonJr.
U.S. District Court,Male,White,George Johnson 
U.S. District Court,Female,White,Inge Johnson 
U.S. District Court,Male,White,Joseph Johnson 
U.S. District Court,Female,African American,Norma Johnson 
U.S. Court of Appeals,Male,White,Samuel JohnsonJr.
U.S. District Court,Male,African American,Sterling JohnsonJr.
Supreme Court,Male,White,Thomas Johnson 
U.S. District Court,Male,White,Tillman Johnson 
Supreme Court,Male,White,William JohnsonJr.
U.S. District Court,Male,White,William Johnson 
U.S. District Court,Male,White,Thomas Johnston 
U.S. District Court,Male,White,Edward Johnstone 
U.S. District Court,Male,White,Charles Joiner 
U.S. Court of Appeals,Male,White,E. Jolly 
U.S. District Court,Female,White,Barbara Jones 
U.S. District Court,Male,African American,Bernard JonesII
U.S. District Court,Male,African American,C. JonesII
U.S. Court of Appeals,Male,White,Charles Jones 
U.S. Court of Appeals,Female,White,Edith Jones 
U.S. District Court,Male,White,James Jones 
U.S. District Court,Male,White,James Jones 
U.S. District Court,Male,White,John Jones 
U.S. District Court,Male,White,John JonesIII
U.S. District Court,Male,White,Lake Jones 
U.S. District Court,Male,African American,Napoleon JonesJr.
U.S. Court of Appeals,Male,African American,Nathaniel Jones 
U.S. District Court,Male,African American,Okla JonesII
U.S. District Court,Male,White,Paul Jones 
U.S. District Court,Male,African American,Richard Jones 
U.S. District Court,Male,White,Robert Jones 
U.S. District Court,Male,White,Robert Jones 
U.S. District Court,Female,White,Shirley Jones 
U.S. District Court,Male,African American,Steve Jones 
U.S. District Court,Male,White,Thomas Jones 
U.S. Court of Appeals,Male,White,Warren Jones 
U.S. District Court,Male,White,William Jones 
U.S. District Court,Male,White,William Jones 
U.S. District Court,Male,White,Woodrow Jones 
U.S. District Court,Male,White,Robert Jonker 
U.S. District Court,Male,Hispanic,Adalberto Jordan 
U.S. District Court,Male,White,Daniel JordanIII
U.S. District Court,Male,White,Kent Jordan 
U.S. District Court,Male,White,Robert Jordan 
U.S. District Court,Male,White,Sean Jordan
U.S. District Court,Female,White,Cindy Jorgenson 
U.S. District Court,Male,White,Matthew Joyce 
U.S. District Court,Male,African American,J. Joyner 
U.S. District Court,Male,White,Orrin Judd 
U.S. District Court,Male,White,Andrew Judson 
U.S. District Court,Male,White,William Juergens 
U.S. District Court,Male,White,Anthony Julian 
U.S. District Court,Male,White,Michael Juneau
U.S. District Court,Male,White,Robert Junell 
U.S. District Court,Male,White,William Jung
U.S. District Court,Male,White,William Justice 
U.S. District Court,Male,White,Matthew Kacsmaryk
U.S. District Court,Male,White,Frederick Kaess 
Supreme Court,Female,White,Elena Kagan 
U.S. District Court,Male,White,Lawrence Kahn 
U.S. District Court,Male,White,Girard Kalbfleisch 
U.S. District Court,Male,African American,Abdul Kallon 
U.S. District Court,Male,White,Harry Kalodner 
U.S. District Court,Male,White,Edward Kampf 
U.S. District Court,Male,White,John Kane 
U.S. District Court,Male,White,John KaneJr.
U.S. District Court,Female,White,Yvette Kane 
U.S. District Court,Male,White,Michael Kanne 
U.S. District Court,Male,White,Frederick Kapala 
U.S. District Court,Male,White,Lewis Kaplan 
U.S. District Court,Male,White,Kenneth Karas 
U.S. District Court,Male,White,Lawrence Karlton 
U.S. Court of Appeals,Male,White,Gregory Katsas
U.S. District Court,Male,White,David Katz 
U.S. District Court,Male,White,Marvin Katz 
U.S. Court of Appeals,Male,White,Robert Katzmann 
U.S. District Court,Male,White,Bruce Kauffman 
U.S. District Court,Male,White,Frank Kaufman 
U.S. District Court,Male,White,Irving Kaufman 
U.S. District Court,Male,White,Samuel Kaufman 
U.S. Court of Appeals,Male,White,Brett Kavanaugh 
U.S. District Court,Male,White,Alan Kay 
U.S. Court of Appeals,Male,White,William KayattaJr.
U.S. District Court,Male,White,David Kays 
U.S. District Court,Male,White,George Kazen 
U.S. District Court,Male,White,William Keady 
U.S. District Court,Male,White,Mark Kearney 
U.S. Court of Appeals,Female,African American,Amalya Kearse 
U.S. District Court,Male,White,Richmond Keech 
U.S. District Court,Female,White,Irene Keeley 
U.S. District Court,Male,White,Walter Keeling 
U.S. Court of Appeals,Female,White,Barbara Keenan 
U.S. District Court,Male,White,John Keenan 
U.S. District Court,Female,White,Judith Keep 
U.S. District Court,Male,White,Robert Keeton 
U.S. District Court,Male,White,James Kehoe 
U.S. District Court,Male,African American,Damon Keith 
U.S. District Court,Male,White,Richard Kellam 
U.S. District Court,Male,White,Robert Kelleher 
U.S. District Court,Male,White,Benjamin Keller 
U.S. District Court,Male,White,William Keller 
U.S. District Court,Male,White,Walter KelleyJr.
U.S. District Court,Male,White,James Kelly 
U.S. Court of Appeals,Female,White,Jane Kelly 
U.S. Court of Appeals,Male,White,John Kelly 
U.S. District Court,Male,White,Patrick Kelly 
U.S. Court of Appeals,Male,White,Paul KellyJr.
U.S. District Court,Male,White,Robert Kelly 
U.S. District Court,Male,White,Timothy Kelly
U.S. District Court,Female,White,Virginia Kendall 
U.S. District Court,Male,White,[Elton] Kendall 
U.S. District Court,Male,White,Charles Kennamer 
U.S. District Court,Male,White,Franklin Kennamer 
U.S. Court of Appeals,Male,White,Anthony Kennedy 
U.S. District Court,Female,White,Cornelia Kennedy 
U.S. District Court,Male,White,Harold Kennedy 
U.S. District Court,Male,African American,Henry KennedyJr.
U.S. District Court,Male,White,Thomas Kennedy 
U.S. District Court,Male,White,Matthew Kennelly 
U.S. District Court,Male,White,Thomas Kennerly 
U.S. District Court,Male,White,Chad KenneySr.
U.S. District Court,Male,White,Samuel Kent 
U.S. District Court,Male,White,W. Kent 
U.S. District Court,Male,White,David Kenyon 
U.S. Court of Appeals,Male,White,William Kenyon 
U.S. District Court,Male,White,Terence Kern 
U.S. Court of Appeals,Male,White,Otto KernerJr.
U.S. Court of Appeals,Male,White,Otto KernerSr.
U.S. District Court,Male,White,Jeremy Kernodle
U.S. District Court,Male,White,Ewing Kerr 
U.S. District Court,Male,White,Frank Kerrigan 
U.S. District Court,Female,White,Gladys Kessler 
U.S. District Court,Male,White,Winthrop Ketcham 
U.S. District Court,Female,White,Roseann Ketchmark 
U.S. Court of Appeals,Male,White,Raymond Kethledge 
U.S. District Court,Male,White,David Key 
U.S. District Court,Male,White,William Kidd 
U.S. Court of Appeals,Male,White,Roger Kiley 
U.S. District Court,Male,White,John Kilkenny 
U.S. District Court,Male,White,John Killits 
U.S. District Court,Male,White,Dale Kimball 
U.S. Court of Appeals,Male,White,Alexander King 
U.S. Court of Appeals,Female,White,Carolyn King 
U.S. District Court,Male,White,Garr King 
U.S. District Court,Male,Asian American,George King 
U.S. District Court,Male,White,James King 
U.S. Court of Appeals,Male,White,Robert King 
U.S. District Court,Male,Pacific Islander/White,Samuel King 
U.S. District Court,Male,White,James Kinkeade 
U.S. District Court,Male,White,Joseph Kinneary 
U.S. District Court,Male,White,Alfred KirklandSr.
U.S. District Court,Male,White,James Kirkland 
U.S. District Court,Male,White,Andrew Kirkpatrick 
U.S. District Court,Male,White,William Kirkpatrick 
U.S. District Court,Male,White,Jackson Kiser 
U.S. District Court,Male,White,John Kitchen 
U.S. District Court,Male,White,Robert Klausner 
U.S. District Court,Male,White,Thomas Kleeh
U.S. District Court,Male,White,Andrew Kleinfeld 
U.S. District Court,Male,White,Frank Kloeb 
U.S. District Court,Male,White,Dennis Knapp 
U.S. District Court,Male,White,[Percy] Knapp 
U.S. District Court,Male,White,Loyal Knappen 
U.S. District Court,Male,White,John Knight 
U.S. District Court,Male,White,Winfred Knoch 
U.S. District Court,Male,White,William Knous 
U.S. District Court,Male,White,Hiram Knowles 
U.S. District Court,Male,White,John Knowles 
U.S. District Court,Male,White,John Knox 
U.S. District Court,Male,White,William Knox 
U.S. District Court,Female,Asian American,Leslie Kobayashi 
U.S. Court of Appeals,Male,White,Jonathan Kobes
U.S. District Court,Male,White,Charles Kocoras 
U.S. Court of Appeals,Male,White,Montgomery Koelsch 
U.S. District Court,Male,White,John Koeltl 
U.S. District Court,Female,Asian American,Lucy Koh 
U.S. District Court,Male,White,Christian Kohlsaat 
U.S. District Court,Female,White,Colleen Kollar-Kotelly 
U.S. District Court,Male,White,Eric Komitee
U.S. District Court,Male,White,Richard Kopf 
U.S. District Court,Male,White,Edward Korman 
U.S. District Court,Male,White,Charles Kornmann 
U.S. District Court,Male,White,Arthur Koscinski 
U.S. District Court,Male,White,Edwin Kosik 
U.S. District Court,Female,White,Elizabeth Kovachevich 
U.S. District Court,Female,White,Rachel Kovner
U.S. Court of Appeals,Male,White,Alex Kozinski 
U.S. District Court,Male,White,C[harles] KraftJr.
U.S. District Court,Female,White,Shirley Kram 
U.S. Court of Appeals,Female,White,Cheryl Krause 
U.S. Court of Appeals,Female,White,Phyllis Kravitch 
U.S. District Court,Male,White,Mark Kravitz 
U.S. District Court,Male,White,Arnold Krekel 
U.S. District Court,Male,White,Isaac KrentzmanJr.
U.S. District Court,Male,White,Alvin Krenzler 
U.S. District Court,Female,White,Marcia Krieger 
U.S. District Court,Male,White,John Kronstadt 
U.S. District Court,Male,White,Robert Krupansky 
U.S. District Court,Male,White,Robert Kugler 
U.S. District Court,Male,African American,William KuntzII
U.S. District Court,Male,White,Fred Kunzel 
U.S. District Court,Male,White,Richard Kyle 
U.S. District Court,Male,Hispanic,George La Plata 
U.S. District Court,Male,White,Walter LaBuy 
U.S. District Court,Male,White,Frederick Lacey 
U.S. District Court,Male,Hispanic,H‚ctor Laffitte 
U.S. Court of Appeals,Female,Hispanic,Barbara Lagoa
U.S. District Court,Male,White,Ronald Lagueux 
U.S. District Court,Male,White,Simeon LakeIII
Supreme Court,Male,White,Joseph Lamar 
Supreme Court,Male,White,Lucius Lamar 
U.S. District Court,Male,White,William Lambdin 
U.S. District Court,Male,White,Royce Lamberth 
U.S. District Court,Male,White,Thomas Lambros 
U.S. District Court,Male,African American,Gary Lancaster 
U.S. District Court,Male,White,Clay Land 
U.S. District Court,Male,White,Kenesaw Landis 
U.S. District Court,Male,White,Arthur Lane 
U.S. District Court,Male,White,George Lane 
U.S. District Court,Male,White,Roberto Lange 
U.S. District Court,Male,White,Orville Langley 
U.S. District Court,Male,White,William Lanning 
U.S. District Court,Male,White,Dominic Lanza
U.S. District Court,Male,White,Joseph Laplante 
U.S. District Court,Male,White,David Larimer 
