name,children__name,children__children__name,children__children__size,children__children__children__name,children__children__children__children__size,children__children__children__size
,,,,,,Richard Rives 
,,,,,,Richard Tallman 
,,,,,,Richard Taranto 
,,,,,,Richard Walker 
,,,,,,Richard Wesley 
,,,,,,Robert Bacharach 
,,,,,,Robert Batts 
,,,,,,Robert Beezer 
,,,,,,Robert Boochever 
,,,,,,Robert Bork 
,,,,,,Robert Henry 
,,,,,,Robert Katzmann 
,,,,,,Robert King 
,,,,,,Robert Luck
,,,,,,Robert McWilliamsJr.
,,,,,,Robert Sack 
,,,,,,Robert Sprecher 
,,,,,,Robert Vance 
,,,,,,Roger Kiley 
,,,,,,Roger Robb 
,,,,,,Roger Wollman 
,,,,,,Ronald Gilman 
,,,,,,Ronald Gould 
,,,,,,Ruggero Aldisert 
,,,,,,Ryan Nelson
,,,,,,S. Plager 
,,,,,,Sam Bratton 
,,,,,,Samuel AlitoJr.
,,,,,,Samuel Alschuler 
,,,,,,Samuel ErvinIII
,,,,,,Samuel JohnsonJr.
,,,,,,Scott MathesonJr.
,,,,,,Scott Wilson 
,,,,,,Seth Shepard 
,,,,,,Seth Thomas 
,,,,,,Sherman Minton 
,,,,,,Sidney Thomas 
,,,,,,Simon Sobeloff 
,,,,,,Stanley Barnes 
,,,,,,Stanley BirchJr.
,,,,,,Stephanos Bibas
,,,,,,Stephen Anderson 
,,,,,,Stephen Breyer 
,,,,,,Stephen Higginson 
,,,,,,Stephen Reinhardt 
,,,,,,Stephen Trott 
,,,,,,Stephen Williams 
,,,,,,Sterry Waterman 
,,,,,,Steven Colloton 
,,,,,,Steven Menashi
,,,,,,Stuart Duncan
,,,,,,Terrence OBrien 
,,,,,,Thomas Ambro 
,,,,,,Thomas Clark 
,,,,,,Thomas Fairchild 
,,,,,,Thomas Gee 
,,,,,,Thomas Griffith 
,,,,,,Thomas McAllister 
,,,,,,Thomas Meskill 
,,,,,,Thomas Nelson 
,,,,,,Thomas Reavley 
,,,,,,Thomas Swan 
,,,,,,Thurman Arnold 
,,,,,,Timothy Dyk 
,,,,,,Timothy Tymkovich 
,,,,,,Todd Hughes 
,,,,,,Victor Woolley 
,,,,,,Wade Brorby 
,,,,,,Wallace McCamant 
,,,,,,Walter Cummings 
,,,,,,Walter ElyJr.
,,,,,,Walter Gewin 
,,,,,,Walter Huxman 
,,,,,,Walter Pope 
,,,,,,Walter Riddick 
,,,,,,Walter Treanor 
,,,,,,Warren Burger 
,,,,,,Warren Jones 
,,,,,,Wilbur Miller 
,,,,,,Wilbur PellJr.
,,,,,,Wiley Rutledge 
,,,,,,William Benton 
,,,,,,William Bryson 
