jid,nid,last_name,first_name,middle_name,suffix,birth_month,birth_day,birth_year,birth_city,birth_state,gender,race_or_ethnicity,court_type
3047,1392071,Fisher,D.,Michael, ,,,1944,Pittsburgh,PA,Male,White,U.S. Court of Appeals
759,1380746,Fisher,George,Purnell, ,10,13,1817,Milford,DE,Male,White,U.S. District Court
760,1380751,Fisher,John, , ,5,22,1771,near Lewes,DE,Male,White,U.S. District Court
761,1380756,Fisher,Joseph,Jefferson, ,4,16,1910,Bland Lake,TX,Male,White,U.S. District Court
2834,1391006,Fisher,Raymond,C., ,,,1939,Oakland,CA,Male,White,U.S. Court of Appeals
762,1380761,Fitzgerald,James,Martin, ,10,7,1920,Portland,OR,Male,White,U.S. District Court
3417,1393921,Fitzgerald,Michael,Walter, ,,,1959,Los Angeles,CA,Male,White,U.S. District Court
763,1380766,FitzHenry,Louis, , ,1,13,1870,Bloomington,IL,Male,White,U.S. District Court
2815,1390911,Fitzhugh,Nicholas,Battalle, ,5,10,1764,King George County,VA,Male,White,U.S. Circuit Court (other)
764,1380771,Fitzpatrick,Duross, , ,10,19,1934,Macon,GA,Male,White,U.S. District Court
765,1380776,Fitzwater,Sidney,Allen, ,,,1953,Olney,MD,Male,White,U.S. District Court
3016,1391916,Flanagan,Louise,W., ,,,1962,Richmond,VA,Female,White,U.S. District Court
766,1380781,Flannery,Thomas,Aquinas, ,5,10,1918,Washington,DC,Male,White,U.S. District Court
767,1380786,Flaum,Joel,Martin, ,,,1936,Hudson,NY,Male,White,U.S. District Court
3280,1393236,Fleissig,Audrey,Goldstein, ,,,1955,St. Louis,MO,Female,White,U.S. District Court
768,1380791,Fletcher,Betty,Binns, ,3,29,1923,Tacoma,WA,Female,White,U.S. Court of Appeals
2789,1390781,Fletcher,William,A., ,,,1945,Philadelphia,PA,Male,White,U.S. Court of Appeals
3030,1391986,Floyd,Henry,Franklin, ,,,1947,Brevard,NC,Male,White,U.S. District Court
769,1380796,Fogel,Herbert,Allan, ,4,20,1929,Philadelphia,PA,Male,White,U.S. District Court
2757,1390621,Fogel,Jeremy,D., ,,,1949,San Francisco,CA,Male,White,U.S. District Court
770,1380801,Foley,James,Thomas, ,7,9,1910,Troy,NY,Male,White,U.S. District Court
771,1380806,Foley,Roger,D., ,4,28,1917,Goldfield,NV,Male,White,U.S. District Court
772,1380811,Foley,Roger,Thomas, ,5,25,1886,Sioux City,IA,Male,White,U.S. District Court
773,1380816,Follmer,Frederick,Voris, ,12,13,1885,Milton,PA,Male,White,U.S. District Court
774,1380821,Folsom,David, , ,,,1947,Murfreesboro,AR,Male,White,U.S. District Court
775,1380826,Fong,Harold,Michael, ,4,28,1938,Honolulu,HI,Male,Asian American,U.S. District Court
3281,1393241,Foote,Elizabeth,Erny, ,,,1953,Lafayette,LA,Female,White,U.S. District Court
776,1380831,Ford,Francis,Joseph William, ,12,23,1882,Boston,MA,Male,White,U.S. District Court
777,1380836,Ford,Hiram,Church, ,7,28,1884,Scott County,KY,Male,White,U.S. District Court
3203,1392851,Ford,Morgan,Dennis, ,9,8,1911,Wheatland,ND,Male,White,Other
779,1380841,Foreman,James,L., ,5,12,1927,Metropolis,IL,Male,White,U.S. District Court
780,1380846,Forester,Karl,Spillman, ,5,2,1940,Harlan,KY,Male,White,U.S. District Court
781,1380851,Forman,Phillip, , ,11,30,1895,New York,NY,Male,White,U.S. District Court
3395,1393811,Forrest,Katherine,Bolan, ,,,1964,New York,NY,Female,White,U.S. District Court
782,1380856,Forrester,J.,Owen, ,4,27,1939,Columbus,GA,Male,White,U.S. District Court
783,1380861,Fortas,Abe, , ,6,19,1910,Memphis,TN,Male,White,Supreme Court
784,1380866,Foster,Cassius,Gaius, ,6,22,1837,Webster,NY,Male,White,U.S. District Court
785,1380871,Foster,Rufus,Edward, ,5,22,1871,Mathews County,VA,Male,White,U.S. District Court
3438,1394021,Fowlkes,John,Thomas,Jr.,,,1951,Washington,DC,Male,African American,U.S. District Court
786,1380876,Fox,Edward, , ,6,10,1815,Portland,ME,Male,White,U.S. District Court
787,1380881,Fox,James,Carroll, ,11,6,1928,Atchison,KS,Male,White,U.S. District Court
788,1380886,Fox,Noel,Peter, ,8,30,1910,Kalamazoo,MI,Male,White,U.S. District Court
2793,1390801,Frank,Donovan,W., ,,,1951,Rochester,MN,Male,White,U.S. District Court
789,1380891,Frank,Jerome,New, ,9,10,1889,New York,NY,Male,White,U.S. Court of Appeals
790,1380896,Frankel,Marvin,E., ,7,26,1920,New York,NY,Male,White,U.S. District Court
791,1380901,Frankfurter,Felix, , ,11,15,1882,Vienna,Austria,Male,White,Supreme Court
792,1380906,Fraser,Philip, , ,1,27,1814,Montrose,PA,Male,White,U.S. District Court
793,1380911,Freed,Emerich,B., ,11,22,1897, ,Hungary,Male,White,U.S. District Court
794,1380916,Freedman,Abraham,Lincoln, ,11,19,1904,Trenton,NJ,Male,White,U.S. District Court
795,1380921,Freedman,Frank,Harlan, ,12,15,1924,Springfield,MA,Male,White,U.S. District Court
796,1380926,Freeh,Louis,J., ,,,1950,Jersey City,NJ,Male,White,U.S. District Court
3506,1394361,Freeman,Beth,Labson, ,,,1953,Washington,DC,Female,White,U.S. District Court
797,1380931,Freeman,Ralph,McKenzie, ,5,5,1902,Flushing,MI,Male,White,U.S. District Court
798,1380936,Freeman,Richard,Cameron, ,12,14,1926,Atlanta,GA,Male,White,U.S. District Court
3254,1393106,Freudenthal,Nancy,Dell, ,,,1954,Cody,WY,Female,White,U.S. District Court
799,1380941,Frey,William,C., ,7,24,1919,Tucson,AZ,Male,White,U.S. District Court
3521,1394436,Friedland,Michelle,Taryn, ,,,1972,Berkeley,CA,Female,White,U.S. Court of Appeals
800,1380946,Friedman,Bernard,A., ,,,1943,Detroit,MI,Male,White,U.S. District Court
2704,1390371,Friedman,Daniel,Mortimer, ,2,8,1916,New York,NY,Male,White,Other
2726,1390471,Friedman,Jerome,B., ,,,1943,Newark,NJ,Male,White,U.S. District Court
2708,1390391,Friedman,Monroe,Mark, ,10,10,1895,Minneapolis,MN,Male,White,U.S. District Court
801,1380951,Friedman,Paul,L., ,,,1944,Buffalo,NY,Male,White,U.S. District Court
4022586,4022586,Friedrich,Dabney,Langhorne,,,,1967,Pensacola,FL,Female,White,U.S. District Court
802,1380956,Friendly,Henry,Jacob, ,7,3,1903,Elmira,NY,Male,White,U.S. Court of Appeals
2900,1391336,Friot,Stephen,P., ,,,1947,Troy,NY,Male,White,U.S. District Court
3134,1392506,Frizzell,Gregory,Kent, ,,,1956,Wichita,KS,Male,White,U.S. District Court
2985,1391761,Frost,Gregory,L., ,,,1949,Newark,OH,Male,White,U.S. District Court
803,1380961,Frye,Helen,Jackson, ,12,10,1930,Klamath Falls,OR,Female,White,U.S. District Court
2855,1391111,Fuentes,Julio,M., ,,,1946,Humacao,Puerto Rico,Male,Hispanic,U.S. Court of Appeals
804,1380966,Fullam,John,Patrick, ,12,10,1921,Gardenville,PA,Male,White,U.S. District Court
2975,1391711,Fuller,Mark,E., ,,,1958,Enterprise,AL,Male,White,U.S. District Court
805,1380971,Fuller,Melville,Weston, ,2,11,1833,Augusta,ME,Male,White,Supreme Court
806,1380976,Fulton,Charles,Britton, ,5,12,1910,Fallon,NV,Male,White,U.S. District Court
807,1380981,Furgeson,William,Royal,Jr.,,,1941,Lubbock,TX,Male,White,U.S. District Court
3412,1393896,Furman,Jesse,Matthew, ,,,1972,New York,NY,Male,White,U.S. District Court
808,1380986,Fust?,Jos?,Antonio, ,,,1943,San Juan,Puerto Rico,Male,Hispanic,U.S. District Court
809,1380991,Gadbois,Richard,Arthur,Jr.,6,18,1932,Omaha,NE,Male,White,U.S. District Court
810,1380996,Gadola,Paul,V., ,,,1929,Flint,MI,Male,White,U.S. District Court
811,1381001,Gagliardi,Lee,Parsons, ,7,17,1918,Larchmont,NY,Male,White,U.S. District Court
812,1381006,Gaitan,Fernando,J.,Jr.,,,1948,Kansas City,KS,Male,African American,U.S. District Court
2727,1390476,Gajarsa,Arthur,J., ,,,1941,Norcia,Italy,Male,White,U.S. Court of Appeals
7544446,7544446,Gallagher,John,Michael,,,,1966,New York,NY,Male,White,U.S. District Court
7049781,7049781,Gallagher,Stephanie,Agli,,,,1972,Rockville,CT,Female,White,U.S. District Court
813,1381011,Galston,Clarence,G., ,4,18,1876,New York,NY,Male,White,U.S. District Court
814,1381016,Ganey,James,Cullen, ,4,22,1899,Phillipsburg,NJ,Male,White,U.S. District Court
2862,1391146,Garaufis,Nicholas, , ,,,1948,Paterson,NJ,Male,White,U.S. District Court
815,1381021,Garbis,Marvin,J., ,,,1936,Baltimore,MD,Male,White,U.S. District Court
816,1381026,Garcia,Edward,J., ,,,1928, Sacramento,CA,Male,Hispanic,U.S. District Court
817,1381031,Garcia,Hipolito,Frank, ,12,4,1925,San Antonio,TX,Male,Hispanic,U.S. District Court
818,1381036,Garcia,Orlando,Luis, ,,,1952,Jim Wells County,TX,Male,Hispanic,U.S. District Court
3389,1393781,Garcia Marmolejo,Marina, , ,,,1971,Nuevo Laredo,Mexico,Female,Hispanic,U.S. District Court
2874,1391206,Garcia-Gregory,Jay,A., ,,,1944,San Juan,Puerto Rico,Male,Hispanic,U.S. District Court
3183,1392751,Gardephe,Paul,G., ,,,1957,Fitchburg,MA,Male,White,U.S. District Court
819,1381041,Gardner,Archibald,K., ,12,3,1867,Gwen Sound,Canada,Male,White,U.S. Court of Appeals
2961,1391641,Gardner,James,Knoll, ,9,14,1940,Allentown,PA,Male,White,U.S. District Court
820,1381046,Garland,Merrick,B., ,,,1952,Chicago,IL,Male,White,U.S. Court of Appeals
821,1381051,Garrecht,Francis,Arthur, ,9,11,1870,Walla Walla,WA,Male,White,U.S. Court of Appeals
3327,1393471,Garrett,Finis,James, ,8,26,1875,near Ore Springs,TN,Male,White,Other
822,1381056,Garrity,Wendell,Arthur,Jr.,6,20,1920,Worcester,MA,Male,White,U.S. District Court
823,1381061,Garth,Leonard,I., ,4,7,1921,Brooklyn,NY,Male,White,U.S. District Court
824,1381066,Garvin,Edwin,Louis, ,10,25,1877,Brooklyn,NY,Male,White,U.S. District Court
825,1381071,Garwood,William,Lockhart, ,10,29,1931,Houston,TX,Male,White,U.S. Court of Appeals
826,1381076,Garza,Emilio,M., ,,,1947,San Antonio,TX,Male,Hispanic,U.S. District Court
827,1381081,Garza,Reynaldo,Guerra, ,7,7,1915,Brownsville,TX,Male,Hispanic,U.S. District Court
828,1381086,Gasch,Oliver, , ,5,4,1906,Washington,DC,Male,White,U.S. District Court
829,1381091,Gaughan,Patricia,Anne, ,,,1953,Lakewood,OH,Female,White,U.S. District Court
830,1381096,Gawthrop,Robert,S.,III,12,2,1942,West Chester,PA,Male,White,U.S. District Court
831,1381101,Gayle,John, , ,9,11,1792,Sumter County,SC,Male,White,U.S. District Court
3549,1394576,Gayles,Darrin,Phillip, ,,,1966,Peoria,IL,Male,African American,U.S. District Court
